name,salary,company_name,metro_station,description_list_items,company_address,rating,skills,description
Программист PHP,,Корпорация ЭЛАР,,"['Требуемый опыт работы', '', ':', '1–3 года']","Москва, Бумажный проезд, 14с2","4,0","PHP, MySQL, Redis, RabbitMQ, Yii2","Корпорация «ЭЛАР» — российская ИТ-компания, сформировавшая в России рынок оцифровки и занявшая лидирующую позицию в отрасли. Мы разрабатываем и внедряем различные информационные системы по управлению документами и данными для цифровой трансформации госуправления, производства и коммерции. А также специализируемся на производстве профессиональной техники для создания электронных информационных ресурсов. На проекты по созданию и развитию банков данных, интерактивных сервисов по работе с архивными документами, историческими картами и другими мультимедиа-данными, ищем РНР-разработчика / ведущего РНР-разработчика. Большинство наших проектов связаны с военной и исторической тематикой: Память народа, ОБД Мемориал, архивный портал ВДНХ. Многие из них – большие данными (200+ млн. записей) и под большой нагрузкой (15 тыс. онлайн). Основной стек на проектах: PHP 7.3 (Symfony, Yii2), MySQL, ElasticSearch, Memcache, Redis, RabbitMQ; на фронте ES6, vuejs, сборка через gulp, webpack. Что для нас важно:  - опыт в сфере web-разработки от 2 лет; - обязателен опыт работы с PHP, Symfony, MySQL, ECMAScript 6; - будет плюсом опыт работы с ElasticSearch, Sphinx.   Что мы предлагаем:  - работу в стабильной, крупнейшей компании в IT отрасли; - возможность работать в удаленном формате; - профессиональное и карьерное развитие, в том числе обучение за счет компании; - и конечно же дружный коллектив и увлекательные корпоративные мероприятия."
Web-программист (full-stack),от 120 000 до 180 000 руб. на руки,МБК,Китай-город,"['Требуемый опыт работы', '', ':', '1–3 года']","Москва, Китай-город, Китай-город, Лубянка, улица Забелина, 1А","4,2","MySQL, Git, JavaScript, PHP7, PHP","Мы - Компания МБК являемся профессиональным участником финансового рынка с 2010 года. Вот уже 11 лет мы успешно помогаем нашим клиентам решать любые вопросы в сфере кредитования и недвижимости. Изначально компания позиционировала себя как кредитный брокер, но со временем расширила услуги. МБК не только помогает получить финансовые продукты, но и помогает продавать жилую недвижимость, в том числе с обременением. Сегодня МБК также развивает направление финансовой грамотности. Только за 2021−2022 годы выпустили 300 статей о кредитовании, недвижимости, банкротстве, бизнесе, инвестициях и экономии. В связи с расширением, сегодня мы собираем команду профессионалов и ищем в команду Web-программиста (full-stack)   Задачи, которые будут стоять перед тобой:  Разработка нового и поддержка существующего функционала; Интеграция с API внутренних/внешних сервисов. Анализ текущих решений, рефакторинг, внедрение лучших практик; Поддержание работоспособности корпоративной CRM-системы Битрикс 24; Участие в бизнес-анализе задач/проектов; Тестирование созданных предложений; Поддержка продукта после разработки.  Требования:  Опыт в web-разработке не менее 3-х лет; Умение читать и анализировать чужой код; Наличие реализованных проектов.  Стек технологий:   PHP, MySQL, JS/Ajax, Jquery, ООП, MVC; Работа с версткой; Работа с Git; Работа с Laravel (Eloquent, Blade, Webpack, Composer), Docker, GitFlow, ElasticSearch); Будет плюсом опыт работы с Bitrix и Bitrix24.  Условия:  Демократичное, прогрессивное и открытое к инициативам руководство; Приветствуем оправданный бизнес-целями ресерч, даем под него ресурсы; Современный комфортный офис в особняке на Китай-городе — самый центр Москвы, в 2х минутах от метро; Комфортно оборудованная кухня, бесплатные завтраки включены; Комната отдыха с PSP и телевизором; Официальное трудоустройство; Полный рабочий день c гибким графиком начала работы."
Разработчик,,ООО Простой маркетинг,,"['Требуемый опыт работы', '', ':', '1–3 года']",,Нет отзывов,"SQL, MySQL, MS SQL, Adobe Photoshop, Базы данных, ZennoPoster, Создание телеграмм ботов, API, C#","Ищем человека с бэкграундом разработчика для фуллтайм для реализации задач и поддержание\доработка проектов на постоянной основе, отлично владеющим инструментами ZennoPoster, MYSQL. Плюсом будет также опыт создание ботов в тгЖелательно опыт работы с api маркетплейсов.Обязательно знание: Zenno, C#, SQL (сложные запросы),администрирование базы данных, создание пользователя, поднятие базы данных на сервере, открыть порты, если нужно внешние и т.д.ZennoPoster: разработка и поддержка работоспособности ботов для сводной аналитики продаж на маркетплейсах Ozon и WB.MYSQL: заполнение данными, поддержка релевантности бд, создание сетки запросов для выгрузки данных. Поиск и оптимизация решений для предоставления данных заказчику.(+ Metabase - визуализация данных для аналитики)Пожалуйста, очень большая просьба не писать тем, кто может ""пропадать"", не готов работать на фуллтайм и быть на связи в рабочее время.Желательно откликаться сообщением, в котором вы кратко расскажете ваш опыт, проекты, рекомендации и когда готовы приступить"
Программист С++,от 250 000 до 360 000 руб. на руки,Цай Галина Вячеславовна,,"['Требуемый опыт работы', '', ':', '1–3 года']","Сыктывкар, Лесопарковая улица",,"Mathematical Modeling, Azure, C++, S3","Обязанности:  Разрабатывать ПО для высокопроизводительных вычислений в сегменте динамического моделирования нефте-газовых месторождений  Требования:  Высшее математическое образование Навык использования C++ стандарта 11 и выше от 3 лет. Опыт участия в разработке клиент-серверных приложений (десктоп приложение - клиент и серверное нагруженное приложение - сервер). Опыт участия в разработке многопоточных высоконагруженных серверных систем. Опыт участия в разработке взаимодействия с распределенными системами обработки (вычислительные кластеры). Опыт участия в разработке взаимодействия с распределенными системами хранения данных (object storage (S3, Azure, etc)). Опыт работы в команде. высокий уровень энергии и желание менять мир вокруг себя.  Условия:  Работа в динамично развивающейся международной компании Комфортный офис рядом с метро Профсоюзная. Доброжелательный коллектив: молодая, профессиональная и дружная команда. Свободная атмосфера (комнаты отдыха, спортивные зоны с настольным футболом, и т.д.).Вкусный чай/кофе, печеньки, фрукты, йогурты. Возможность регулярно посещать профессиональные и развивающие курсы. Достойная «белая» зарплата. Уровень заработной платы определяется с учетом пожеланий успешных кандидатов. Частичная компенсация затрат на спорт. ДМС для сотрудников и льготные условия по ДМС для членов семьи. Врач в офисе"
Инженер-программист,,АО Управление перспективных технологий,Курская,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Курская, Самокатная улица (Москва), 1 стр.1","2,9","AutoCAD, Компас-3D, PostgreSQL, 3D Моделирование, Linux","АО ""Управление перспективных технологий предлагает участие в уникальных проектах, не имеющим аналогов в РФ. Вас ждет:  Интересная работа Уникальный опыт разработки изделий, не имеющих аналогов в РФ Возможность профессионального и карьерного роста, получения уникальных навыков и знаний.  Обязанности:  Разработка программного обеспечения программируемых контроллеров, SCADA систем, HMI интерфейсов; Конфигурирование ПЛК, модулей ввода/вывода; Проработка алгоритмов управления и контроля; Разработка программной документации; Отладка программного обеспечения, участие в пуско-наладочных работах.  Требования:  знание языков программирования стандарта IEC 61131-3 (ST, FBD) знание программных продуктов MS Office; MS Visio, MasterSCADA4D, Codesys. знание нормативной документации в части разработки программного обеспечения; опыт работы с интерфейсами связи Ethernet, RS-485 и т.д. опыт работы с протоколами обмена информацией Modbus, SNMP, OPC опыт в разработке SCADA систем; желательно знание языков программирования C, C++    Условия:  Официальная заработная плата, выплачивается без задержек; График работы 5/2 (8.00-17.00); Оформление согласно ТК РФ; Стабильная, успешная компания (более 30 лет на рынке); Уровень заработной платы обсуждается с успешным кандидатом. Возможны командировки."
C# developer / Программист C# (Удалённо),,ООО НОВАЯ СТУДИЯ,,"['Требуемый опыт работы', '', ':', '3–6 лет']",,"5,0","Английский — B1 — Средний, Git, C#, SQL, MS SQL, Design Patterns","Компания ""Nemo.Travel"" основана в 2008 году и является продуктовой IT компанией, участником инновационного центра Сколково.Мы разрабатываем передовые технологические продукты для авиакомпаний, туроператоров и тревел-компаний. Наши веб-сайты и системы бронирования помогают миллионам людей полететь на отдых, встретиться с родными или организовать деловую поездку.Если вы любите решать нестандартные интересные задачи и вам не безразличны авиация или туризм, вам понравится работать у нас. Требования:  Вы можете решить почти любую технически описанную задачу Вы достаточно самостоятельны, результат вашей работы не требует тщательной перепроверки старшими товарищами Вы пишете простой и понятный код, придерживаясь SOLID и KISS принципов У Вас хорошие знания и есть опыт в: C#, ASP.NET, .Net Core(будет плюсом), SQL, Git  Будет плюсом:1. Опыт участия в код ревью коллег2. Опыт разработки приложений с сервис-ориентированной архитектурой3. Успешный опыт оптимизации под высокую нагрузку4. Опыт работы в тревел-проектах или в проектах электронной коммерции Ваши обязанности:1. Работа в команде с другими разработчиками, менеджерами и тестерами2. Разработка и сопровождение собственных веб-сервисов и интеграция веб-сервисов сторонних компаний Условия работы: 1. Возможность работы как дистанционно, так и в офисе: на ваш выбор полностью дистанционная работа или оплачиваемый компанией коворкинг с закрепленным местом в вашем городе 2. Гибкий график, возможность выбрать удобное для работы время 3. Работа с передовыми технологиями и интересными проектами, профессиональный рост и развитие 4. Открытая корпоративная культура и дружелюбная команда 5. Оформление по ТК и полностью белая конкурентная заработная плата"
Senior Backend Developer,от 300 000 руб. на руки,ООО Перфект Системс,,"['Требуемый опыт работы', '', ':', 'более 6 лет']",,"5,0","ООП, Git, Linux, PHP, SQL, MVC","Добрый день!Компания набирает несколько сотрудников для работы удаленно фуллтайм.Интересная нестандартная работа с Database storage , Google Cloud Spanner, Google cloud BigQuery, Amazon Aurora.Несколько десятков Enterprise Service - Pusher, LaClase и т.дВ работе используем современные практики и технологии.Вот некоторые из них:  Agile github / bitbucket / gitlab, любая система контроля версий ci / circleci / travis / google cloud build / jenkins / atlassian bamboo vagrant / docker / kubernetes(K8S, GKE) / Minikube google cloud / amazon aws / microsoft azure и другие облачные провайдеры composer / npm laravel / symfony / lumen / yii2-3 / based framework vuejs / react / angular и другие фреймворки webpack / gulp / grant и другие инструменты сборки microservices Terraform и так далее  Обязанности:  Разработка ПО - web приложения в соответствии с техническим заданием. ПроектированиеНаписание кодаПусконаладочные работы Участие в командных мероприятиях по сбору требований, технической экспертизы по реализации новых возможностей. Аудит архитектурных решений Обучение и передача знаний другим сотрудникам  Требования:  Постоянное самообучение. Быть внимательным к деталям. Проявлять активную позицию в развитие проекта и компании. Свободно владеть русским языком письменно и устно. Английский не менее B1 Быть знакомым со следующими вещами: php, framework, sql, git, mvc, linux, bash, docker  Условия:  Удаленная работа Фулл-тайм 5/2 Регулярное индексирование заработной платы в соответствии с условиями рынка Относительно гибкий график, вы можете выбрать рабочие часы и дни. Но их нужно будет зафиксировать. Пересекаться с другими участниками проекта не менее чем на 3 часа в день Гарантия профессионального роста, как IT специалист    Собеседование по skype.Ждём ваших откликов и рассчитываем на взаимовыгодное сотрудничество."
Junior frontend-разработчик (Интегратор),от 50 000 до 70 000 руб. на руки,DIGINETICA,,"['Требуемый опыт работы', '', ':', '1–3 года']",,"4,3","JavaScript, CSS, HTML, HTML5, Git, Vue, NPM","DIGINETICA — технологическая компания, основанная в 2014 году, разработчик продуктов и решений для онлайн ритейла. AnyQuery — SaaS сервис AI поиска для eCommerce. Мы лидеры рынка - наш сервис AI поиска используют Ситилинк, Петрович, Спортмастер, Санлайт, Золотое Яблоко, 220 вольт, Азбука Вкуса, Эльдорадо и еще 160 ритейлеров. Мы делаем удобными поиск и покупки товаров для 20 млн пользователей в РФ, за счет чего повышается конверсия в магазинах и магазины выбирают работать с нами.Мы создали новый продукт совместно с одним из крупнейших онлайн банков России и сейчас, мы ищем фронтенд - разработчика, который будет внедрять наш продукт крупнейшим игрокам e-commerce рынка. Это отличная возможность расти и развиваться вместе с новым продуктом и крутой командой! Что будешь делать:   Расширять функционал нового продукта   Интегрировать Vue - приложения на сайт клиента   Находить и исправлять ошибки в коде  Работать с лучшими игрокам e-commerce рынка  Что мы ждем от тебя:   Знание Vue: знание синтаксиса, понимания принципа реактивности   Умение работать с асинхронным кодом   Уверенные знания JavaScript, ES6, DOM API. (умение читать чужой код)   Практический опыт верстки (HTML, CSS, SCSS) от полугода   Базовые знания Figma.   Пришли в сопроводительном письме ссылки на свои pet-проекты или ссылку github! Почему нужно идти к нам?  Удаленную фултайм работу - нам не важно, из какой точки мира вы работаете, важен только результат.  Работу с настоящей командой из 60 профессионалов, готовых прийти на помощь.   Полностью белая ЗП, соответствующая твоим навыкам и опыту.  Мы также заботимся о твоем метальном здоровье предлагаем скидки на услуги сервиса ""Ясно""  У нас крутая продуктовая культура. Мы смогли за 2 года обогнать лучших мировых игроков по функционалу, за счет плотной работы с клиентами, быстрых MVP и точных решений.   #B2B #AI #SaaS Enterprise - мы занимаемся очень перспективным бизнесом. За ним и настоящее и будущее. AI — этого становится все больше, растущий рынок, вам это пригодится. А SaaS любят потому, что хороший ретеншн и рациональное принятие решения об использовании.   У нас очень крутая школа и репутация - выпускники нашей команды работают в самом топе - Ebay Europe, Constructor IO, Microsoft Europe, Semrush, Lamoda, Yandex, AliExpress, RichRelevance.   Это наш третий успешный SaaS бизнес, мы понимаем как вырастить компанию. И вы этому научитесь у нас. Мы прибыльные и крепко стоим на ногах."
Программист-разработчик,,ООО Торговый Дом КУДО,,"['Требуемый опыт работы', '', ':', 'более 6 лет']","Москва, Открытое шоссе, 24к8","4,6","Delphi, SQL, Oracle Pl/SQL, ORACLE","Основные задачи: - Разработка нового функционала ERP, далее системы. Разработка интерфейсной части и логики программных модулей. - Поддержка системы, корректировка алгоритмов, исправление ошибок в существующем функционале. - Разработка отчетности. - Интеграция системы с программными продуктами третьих фирм. - Взаимодействие с сотрудниками компании по постановке задач, их формализация. Обязанности:   Разработка прикладных модулей программных средств.   Исправление ошибок, обнаруженных в ходе тестирования готовых программных средств, исправление замечаний, поступивших от работников других подразделений по программным средствам.   Прием заявок на разработку программных средств, прием замечаний по работе программных средств, а также оказание консультативной помощи работникам по вопросам эксплуатации системы.   Требования:   Опыт разработки клиент-серверных приложений;   Опыт поддержки информационных систем на разных уровнях;   Опыт программирования на Delphi.   Опыт работы с БД (в приоритете Oracle SQL и Oracle PL/SQL);   Уверенное знание SQL, аналитические функции, навыки в построении сложных SQL запросов;   Опыт работы с системами контроля версий.   Условия:   Оформление по ТК РФ;   Пятидневная рабочая неделя;   Приложите к своему резюме примеры вашего исходного кода на Delphi и Oracle PL/SQL, пожалуйста. Эти примеры могут не компилироваться и требуются нам только для оценки вашего профессионального уровня."
Программист SQL,от 80 000 руб. на руки,ООО Аврора-ИТ,Бульвар Рокоссовского,"['Требуемый опыт работы', '', ':', '1–3 года']","Москва, Бульвар Рокоссовского, Преображенская площадь, Сокольники, улица Богородский Вал, 3к101",Нет отзывов,"SQL, MS SQL, C++, Java, Разработка ПО, Cистемы управления базами данных, Crystal Reports","Компания Аврора-ИТ обладает уникальным опытом по внедрению передовых технологий класса LIMS (Лабораторно-информационных систем), направленных на оптимизацию управления процессами контроля качества продукции и повышения эффективности работы на российских предприятиях любых отраслей промышленности, в испытательных центрах и научно-исследовательских лабораториях. Наши заказчики – ТОП 100 крупнейших компаний России (рейтинг РБК). Обязанности:  разработка функционала собственного программного продукта LIMS; написание SQL запросов различной сложности (основная часть работы); тестирование и отладка/корректировка ПО; сопровождение внедрения ПО; консультации и обучение специалистов Заказчика по работе с ПО; создание технической документации, описывающей разработанный функционал.  Требования:  законченное высшее образование; знание любого языка программирования высокого уровня (С#, C++, Java, JScript, JavaScript); хорошее знание SQL (важно!); английский технический; знание основ ООП; готовность к командировкам (1 неделя раз в 4/6 месяцев); знание Crystal reports приветствуется; внимательность, ответственность и инициативность.  Условия:  работа с передовыми ИТ-технологиями, команда уникальных специалистов; проекты для ведущих компаний России, широкая география проектов внутри страны; график с 9.00 - 18.00, пт. до 17.00. Сб, вс – выходной; зарплата без задержек; отдельные кабинеты по 3-5 человек; чай и кофе на собственной кухне. Рядом кафе; комфортабельный, светлый офис в 12 мин от м. Преображенская площадь; испытательный срок 3 месяца; уровень заработной платы зависит от профессионального уровня и знаний, и обсуждается на собеседовании."
Младший программист / PHP-разработчик (junior),,АО Авиакомпания Смартавиа,,"['Требуемый опыт работы', '', ':', '1–3 года']",,"5,0","Git, JavaScript, PHP, MySQL, ООП","Обязанности:  разработка и поддержка web-модулей бронирования авиабилетов и самостоятельной регистрации на рейсы авиакомпании; разработка модулей внутренней информационной системы.    Требования:   знание современного php; опыт разработки на JavaScript/jQuery; опыт работы с веб-фреймворками; опыт работы с PostgreSQL или MySQL; знания git, Gitlab; умение читать чужой код.  Плюсом будет:  опыт коммерческой разработки; понимание ООП; знание Bash, XPath, RegExp; опыт работы с Docker; опыт работы с Kubernetes; опыт работы в travel; опыт работы с высоконагруженными системами; опыт работы с платёжными системами/проведением платежей.    Условия:  оплата – по результатам собеседования; работа удаленная / частично удаленная; справка об отсутствии/наличии судимости (обязательно); для оформления нужно будет посетить офис авиакомпании в Москве или Архангельске; пятидневная 40-часовая рабочая неделя; стабильная заработная плата; социальный пакет; дополнительное медицинское страхование; ежегодный основной оплачиваемый отпуск.  Бонусы:  Work-life balance; делимся знаниями о тревел-индустрии; ресурсы на реализацию смелых идей, идущих на пользу компании; неограниченный профессиональный и карьерный рост; бесплатные и льготные авиабилеты для сотрудников и членов их семей на собственные рейсы авиакомпании.  Уважаемые соискатели на данную позицию мы предлагаем пройти тестирование! Ждём Ваше резюме и направим тест!  ➡ Go к нам ✈!"
Разработчик JavaScript (фронт),от 150 000 до 250 000 руб. на руки,ООО РТ КИС,,"['Требуемый опыт работы', '', ':', '1–3 года']","Москва, 2-я Магистральная улица, 8А",Нет отзывов,"JavaScript, SQL, HTTP, REST, Работа в команде, HTML5, CSS3, TypeScript, React, ES6, ES7, Git, OSM, Яндекс.карты, WebSocket, Реляционные БД","О компании: Динамично развивающаяся IT-компания с прекрасным коллективом и комфортным внутренним климатом приглашает в свои ряды компетентных специалистов. Наши продуктовые решения лидируют в своей области во многих регионах нашей большой страны. Обязанности:     разработка программного обеспечения (ПО) в соответствии с функциональными спецификациями (техническим заданием);   работа с существующим кодом, в т.ч. проведение ревью;   оценка трудоемкости, анализ возможности реализации и согласование сроков выполнения поставленных задач как для своих задач, так и для задач, которые будут выполнять другие программисты команды, а также внешние подрядчики;   техническое документирование разрабатываемого ПО;   Требования:   высшее техническое образование;   уверенное знание и опыт с HTML5 и CSS3;   опыт работы с JavaScript/TypeScript, React;   знание ES6 и ES7;   опыт взаимодействия с REST сервисами;   опыт работы в GIT;   опыт проведения code review;   опыт проведения самостоятельной разработки или в команде.   ​Плюсом было бы:  опыт работы с картографическими сервисами OSM, Яндекс.карты; опыт работы с WebSocket; опыт работы с реляционными БД.  Условия:  Офис в 15 мин. от метро Шелепиха; Возможен как удаленный, так и офисный формат работы (обсуждается индивидуально); Интересные задачи по созданию системы, работа в команде профессионалов; ДМС со стоматологией; Официальное трудоустройство в соответствии с ТК РФ с первого рабочего дня; Возможность профессионального роста; Работа с государственными заказчиками над социально значимыми проектами."
Backend-разработчик (Node.JS),от 180 000 до 260 000 руб. на руки,ООО ПродвигаеФФ.ру,Октябрьское поле,"['Требуемый опыт работы', '', ':', '3–6 лет']","Москва, Октябрьское поле, Сокол, Волоколамское шоссе, 1с1","5,0","JavaScript, MySQL, Koa, Ajax, NestJS, Sequelize, Cancan, Dokcer, Yii2, Node.js","Описание вакансии: Требуются специалисты в области backend разработки уровня от Middle до Senior. Если у Вас есть опыт разработки, приглашаем Вас пройти собеседование и стать частью нашей команды. Предлагаем достойные условия труда и возможности для профессионального и карьерного роста. Работу с крупными и интересными проектами (с топовыми российскими компаниями) гарантируем. Налаженные процессы разработки с использованием gitlab/gitflow, проведение code review. Отсутствие бюрократии и доброжелательная атмосфера в команде. Предлагаем работу как в офисе (в 5 минутах от м. Сокол), так и удалённо. Задачи:  Программирование на Node.JS информационных систем Модернизация и внесение изменений в разработанные проекты Оптимизация кода, рефакторинг кода Отладка (debugging) Работа над несколькими крупными проектами, а также над внутренними продуктами компании  Требования:   Знание JavaScript, Ajax, NestJS, Koa, Sequelize, Cancan, PostgreSQL/MySQL   Опыт работы с Node.JS, а также Dokcer, микросервисной архитектурой;   Работа в GitLab;   Умение точно оценивать сроки и риски реализации;   Будет плюсом:  Знание РНР Опыт работы с Yii2 Предлагаем следующие условия:  Гибкое начало рабочего дня   З/п от 180 000 р. до 260 000 р. (твёрдая сумма, на руки, определяется по результатам собеседования) Трудоустройство в соответствии с ТК РФ Возможность предоставления отсрочки для IT специалистов"
Backend разработчик ASP.NET Core,,ООО Транснефтьэнерго,Выставочная,"['Требуемый опыт работы', '', ':', '1–3 года']","Москва, Выставочная, Пресненская набережная, 4с2","4,1","Entity Framework, C#, LINQ, SQL, MS SQL Server, ООП, MVC, Web Sockets, EF Core, MassTransit, Quartz, PostgreSQL","О компании: ООО «Транснефтьэнерго» — независимая энергосбытовая компания. Ведущий поставщик электроэнергии промышленным потребителям на всей территории России. Мы занимаем второе место в рейтинге энергосбытовых компаний по версии НП Совета Рынка. Нашими основными клиентами являются ПАО «Транснефть», КТК. Третий год в нашей компании развивается направление по созданию цифрового продукта «Цифровой энергосбыт» который станет площадкой по взаимодействию сбытовых компаний и их клиентов по всей России. О проекте: Цель проекта — создание уникального в России продукта по автоматизации энергосбытовой деятельности компании. Сейчас на рынке есть продукты, которые автоматизируют ту или иную часть бизнеса, но комплексный продукт отсутствует. Проект имеет микросервисную архитектуру, backend .Net5, frontend Vue 3 + typescript, ui framework Vuetifyjs. Каждый сервис упакован в Docker, сейчас мы активно внедряем Kubernetes. О команде: Текущая команда состоит из 16 человек:  5 backend разработчиков, C#; 4 frontend разработчика, Vue js; 1 UX/UI дизайнер; 1 QA инженера.  Идет расширение команды до 20 человек . Команда работает по SCRUM. Инфраструктура для работы это Jira, Confluence, Bitbucket, TeamCity. В проекте организован CI/CD. Что нужно будет делать:  Разработка серверной части ПО для бизнес процессов энергосбытовой деятельности: C# (.Net, .Net Core, WebAPI, EF Core, MassTransit, Quartz). Анализ и оценка поставленные задач. Проектирование и разработка новой функциональности ПО. Участие в разборе инцидентов и исправление ошибок. Участие в подготовке релизов и построении процессов CI/CD.  Какие знания нужны:  C#, ООП, ASP .NET Core, MVC, Web Sockets, EF Core, MassTransit, Quartz. Основные шаблоны проектирования и умение применять их на практике. Умение писать «чистый», расширяемый, поддерживаемый код (SOLID и др.), Знание PostgreSQL Написание модульных тестов (библиотека xUnit). Умение работы с Docker, RabbitMQ. Опыт работы в Jirа. Знание git и опыт совместной разработки в ней.  Приветствуется:  Опыт проектирования БД; Знание Consul; Знание MS SQL Server; Умение пользоваться инструментом сборки проектов — TeamCity; Умение и опыт работы по Agile.  Общее требование:  Высшее образование.  Работа у нас – это:  Площадка для саморазвития; Возможность совмещения удаленной работы и в офисе; Гарантированные дополнительные выплаты в течение года (оклад к отпуску, Дню нефтяника); Дополнительная премия за проектную деятельность; Офис класса А+ в Москва Сити; Расширенный ДМС, компенсации и гарантии (Компенсация фитнеса, путевок детям)."
Web-программист,от 55 000 до 110 000 руб. на руки,Скибл,Планерная,"['Требуемый опыт работы', '', ':', '3–6 лет']","Химки, Планерная, Ленинградская улица, 29",Нет отзывов,"Аналитический склад ума, Тайм-менеджмент","Кого мы ищем? Для работы с интернет-магазином требуется php программист. Проект с которым предстоит работать написан достаточно давно, использовались прошлые технологии. Потребуется доработка нынешнего проекта и создание более нового проекта в будущем на современном фреймфорке. Сколько я смогу зарабатывать? Оплата сдельная, нагрузка от 35000 до 65000 в месяц и более. Требования:  Образование: высшее, неоконченное высшее, другое Высокий уровень программирования на чистом php Фреймворки: yii 2.0 и другие Опыт в создании личных кабинетов и CRM систем Оперативно начать коммуникации    Обязанности: - Доработка, устранение ошибок у проекта на PHP - Создание нового функционала   Условия: График работы: договорной Время работы: договорное Оплата сдельная, почасовая. Все регионы"
